,article_idx,link_idx
0,4592,524
1,4592,966
2,4592,1260
3,4592,1763
4,4592,2140
5,4592,2164
6,4592,2806
7,4592,3089
8,4592,3238
9,4592,3640
10,4592,4385
11,4593,32
12,4593,442
13,4593,1066
14,4593,1093
15,4593,1424
16,4593,1431
17,4593,1502
18,4593,2422
19,4593,2496
20,4593,2920
21,4593,3154
22,4593,3277
23,4593,3556
24,4593,3886
25,4593,3953
26,4593,4137
27,4593,4169
28,4593,4282
29,4593,4531
30,4594,92
31,4594,529
32,4594,925
33,4594,1191
34,4594,1297
35,4594,1559
36,4594,1567
37,4594,1685
38,4594,2086
39,4594,2174
40,4594,2400
41,4594,2946
42,4594,3125
43,4594,3149
44,4594,3227
45,4594,3425
46,4594,3452
47,4594,3953
48,4594,4295
49,4594,4406
50,4595,760
51,4595,1381
52,4595,1673
53,4595,2140
54,4595,3008
55,4595,3102
56,4595,3459
57,4595,4282
58,4596,1260
59,4596,1254
60,4596,1377
61,4596,1763
62,4596,2140
63,4596,2475
64,4596,2723
65,4596,3640
66,4596,4353
67,4596,4561
68,4597,367
69,4597,371
70,4597,394
71,4597,538
72,4597,557
73,4597,706
74,4597,820
75,4597,838
76,4597,902
77,4597,958
78,4597,970
79,4597,1235
80,4597,1431
81,4597,1502
82,4597,1559
83,4597,1616
84,4597,1685
85,4597,1784
86,4597,1840
87,4597,1853
88,4597,1909
89,4597,1934
90,4597,2140
91,4597,2174
92,4597,2564
93,4597,2603
94,4597,2755
95,4597,2803
96,4597,2867
97,4597,2946
98,4597,3023
99,4597,3027
100,4597,3302
101,4597,3311
102,4597,3477
103,4597,3600
104,4597,3608
105,4597,3801
106,4597,3815
107,4597,3909
108,4597,4243
109,4597,4282
110,4597,4285
111,4597,4286
112,4597,4333
113,4597,4454
114,4597,4578
115,0,1
116,0,56
117,0,181
118,0,529
119,0,600
120,0,728
121,0,1131
122,0,1245
123,0,1559
124,0,1685
125,0,1770
126,0,2089
127,0,2174
128,0,2327
129,0,2475
130,0,2695
131,0,2738
132,0,2806
133,0,2892
134,0,3213
135,0,3274
136,0,3640
137,0,3777
138,0,3953
139,0,4136
140,0,4353
141,1,0
142,1,2
143,1,3
144,1,4
145,1,6
146,1,9
147,1,11
148,1,13
149,1,18
150,1,20
151,1,21
152,1,32
153,1,33
154,1,34
155,1,36
156,1,44
157,1,50
158,1,52
159,1,53
160,1,54
161,1,56
162,1,495
163,1,728
164,1,776
165,1,886
166,1,1077
167,1,1131
168,1,1213
169,1,1277
170,1,1318
171,1,1377
172,1,1508
173,1,1559
174,1,1687
175,1,2089
176,1,2228
177,1,2428
178,1,2579
179,1,2688
180,1,2892
181,1,2975
182,1,2999
183,1,3002
184,1,3017
185,1,3311
186,1,4136
187,1,4353
188,1,4487
189,2,0
190,2,1
191,2,3
192,2,4
193,2,6
194,2,9
195,2,11
196,2,13
197,2,18
198,2,20
199,2,21
200,2,32
201,2,33
202,2,34
203,2,36
204,2,44
205,2,50
206,2,52
207,2,53
208,2,54
209,2,56
210,2,254
211,2,1070
212,2,1377
213,2,1559
214,2,1566
215,2,1580
216,2,1648
217,2,1891
218,2,2027
219,2,2073
220,2,2089
221,2,2135
222,2,2140
223,2,2809
224,2,3149
225,2,3311
226,2,3483
227,2,3582
228,2,3665
229,2,3680
230,2,3953
231,2,4025
232,2,4103
233,2,4136
234,3,2
235,3,4
236,3,259
237,3,305
238,3,351
239,3,454
240,3,715
241,3,728
242,3,754
243,3,886
244,3,1128
245,3,1425
246,3,1566
247,3,1580
248,3,1648
249,3,1985
250,3,2027
251,3,2073
252,3,2135
253,3,2161
254,3,2164
255,3,2274
256,3,2403
257,3,2593
258,3,2608
259,3,2639
260,3,2809
261,3,2892
262,3,3012
263,3,3640
264,3,3886
265,3,4020
266,3,4102
267,3,4136
268,4,3
269,4,6
270,4,73
271,4,417
272,4,597
273,4,714
274,4,886
275,4,899
276,4,1128
277,4,1131
278,4,1308
279,4,1377
280,4,1383
281,4,1425
282,4,1559
283,4,2026
284,4,2068
285,4,2089
286,4,2161
287,4,2174
288,4,2514
289,4,2773
290,4,2973
291,4,3105
292,4,3274
293,4,3300
294,4,3452
295,4,3730
296,4,4136
297,4,4140
298,4,4406
299,5,26
300,5,121
301,5,387
302,5,746
303,5,1281
304,5,1464
305,5,2091
306,5,2100
307,5,2137
308,5,2363
309,5,2364
310,5,2795
311,5,2847
312,5,3126
313,5,3197
314,5,3544
315,5,3563
316,5,3780
317,5,3844
318,5,3919
319,5,4269
320,5,4282
321,5,4286
322,5,4531
323,6,0
324,6,1
325,6,2
326,6,3
327,6,4
328,6,9
329,6,11
330,6,13
331,6,18
332,6,20
333,6,21
334,6,32
335,6,33
336,6,34
337,6,36
338,6,44
339,6,50
340,6,52
341,6,53
342,6,54
343,6,56
344,6,341
345,6,417
346,6,436
347,6,494
348,6,534
349,6,728
350,6,902
351,6,1425
352,6,1559
353,6,1901
354,6,1903
355,6,2026
356,6,2087
357,6,2089
358,6,2091
359,6,2233
360,6,2238
361,6,2246
362,6,2349
363,6,2437
364,6,2514
365,6,3002
366,6,3105
367,6,3215
368,6,3256
369,6,3274
370,6,3311
371,6,3452
372,6,3481
373,6,3815
374,6,3817
375,6,4136
376,6,4140
377,6,4332
378,6,4402
379,6,4580
380,7,8
381,7,573
382,7,1151
383,7,1447
384,7,2297
385,7,3436
386,7,3777
387,7,3924
388,8,7
389,8,573
390,8,1151
391,8,1273
392,8,1447
393,8,2297
394,8,3247
395,8,3660
396,8,3777
397,8,3856
398,8,3924
399,8,4413
400,9,0
401,9,1
402,9,2
403,9,3
404,9,4
405,9,6
406,9,11
407,9,13
408,9,18
409,9,20
410,9,21
411,9,32
412,9,33
413,9,34
414,9,36
415,9,44
416,9,50
417,9,52
