,article,category
0,10th_century,['subject.History.General_history']
1,11th_century,['subject.History.General_history']
2,12th_century,['subject.History.General_history']
3,13th_century,['subject.History.General_history']
4,14th_century,['subject.History.General_history']
5,15th_Marine_Expeditionary_Unit,['subject.History.Military_History_and_War']
6,15th_century,['subject.History.General_history']
7,16_Cygni,['subject.Science.Physics.Space_Astronomy']
8,16_Cygni_Bb,['subject.Science.Physics.Space_Astronomy']
9,16th_century,['subject.History.General_history']
10,1755_Lisbon_earthquake,['subject.History.General_history']
11,17th_century,['subject.History.General_history']
12,1896_Summer_Olympics,['subject.Everyday_life.Sports_events']
13,18th_century,['subject.History.General_history']
14,1928_Okeechobee_Hurricane,['subject.Geography.Storms']
15,1973_oil_crisis,['subject.History.Recent_History']
16,1980_eruption_of_Mount_St._Helens,['subject.Geography.Geology_and_geophysics']
17,1997_Pacific_hurricane_season,['subject.Geography.Natural_Disasters']
18,19th_century,['subject.History.General_history']
19,1_Ceres,['subject.Science.Physics.Space_Astronomy']
20,1st_century,['subject.History.General_history']
21,1st_century_BC,['subject.History.General_history']
22,2-6-0,['subject.Design_and_Technology.Railway_transport']
23,2-8-0,['subject.Design_and_Technology.Railway_transport']
24,2003_Atlantic_hurricane_season,['subject.Geography.Natural_Disasters']
25,2004_Atlantic_hurricane_season,['subject.Geography.Natural_Disasters']
26,2004_Indian_Ocean_earthquake,['subject.Geography.Geology_and_geophysics']
27,2005_Atlantic_hurricane_season,['subject.Geography.Storms']
28,2005_Hertfordshire_Oil_Storage_Terminal_fire,['subject.History.Recent_History']
29,2005_Kashmir_earthquake,['subject.Geography.Natural_Disasters']
30,2005_Lake_Tanganyika_earthquake,['subject.Geography.Natural_Disasters']
31,2005_Sumatra_earthquake,['subject.Geography.Natural_Disasters']
32,20th_century,['subject.History.General_history']
33,21st_century,['subject.History.General_history']
34,2nd_century,['subject.History.General_history']
35,3_Juno,['subject.Science.Physics.Space_Astronomy']
36,3rd_century,['subject.History.General_history']
37,4-2-0,['subject.Design_and_Technology.Railway_transport']
38,4-4-0,['subject.Design_and_Technology.Railway_transport']
39,4-6-0,['subject.Design_and_Technology.Railway_transport']
40,47_Ursae_Majoris,['subject.Science.Physics.Space_Astronomy']
41,47_Ursae_Majoris_b,['subject.Science.Physics.Space_Astronomy']
42,47_Ursae_Majoris_c,['subject.Science.Physics.Space_Astronomy']
43,4_Vesta,['subject.Science.Physics.Space_Astronomy']
44,4th_century,['subject.History.General_history']
45,55_Cancri,['subject.Science.Physics.Space_Astronomy']
46,55_Cancri_b,['subject.Science.Physics.Space_Astronomy']
47,55_Cancri_c,['subject.Science.Physics.Space_Astronomy']
48,55_Cancri_d,['subject.Science.Physics.Space_Astronomy']
49,55_Cancri_e,['subject.Science.Physics.Space_Astronomy']
50,5th_century,['subject.History.General_history']
51,6-2-0,['subject.Design_and_Technology.Railway_transport']
52,6th_century,['subject.History.General_history']
53,7th_century,['subject.History.General_history']
54,8th_century,['subject.History.General_history']
55,90377_Sedna,['subject.Science.Physics.Space_Astronomy']
56,9th_century,['subject.History.General_history']
57,A._E._J._Collins,['subject.People.Sports_and_games_people']
58,ABO_blood_group_system,['subject.Science.Biology.Health_and_medicine']
59,AC_DC,['subject.Music.Performers_and_composers']
60,AIDS,['subject.Science.Biology.Health_and_medicine']
61,AK-47,['subject.History.Military_History_and_War']
62,ALCO_FA,['subject.Design_and_Technology.Railway_transport']
63,ASCII,['subject.IT.Computing_hardware_and_infrastructure']
64,AT&T,['subject.Business_Studies.Companies']
65,ATLAS_experiment,['subject.Science.Physics.General_Physics']
66,A_Christmas_Carol,['subject.Language_and_literature.Novels']
67,A_Tale_of_a_Tub,['subject.Language_and_literature.Novels']
